	SubjectID1	SubjectID2	Group1	Group2	Distance
432	EG0057	EG0927	After abduction	After abduction	0.442
433	EG0057	EG0892	After abduction	After abduction	0.3014
434	EG0057	EG0850	After abduction	After abduction	0.2878
435	EG0778	EG2580	After abduction	After abduction	0.3192
436	EG0778	EG2559	After abduction	After abduction	0.4096
437	EG0778	EG2473	After abduction	After abduction	0.2606
438	EG0778	EG2392	After abduction	After abduction	0.3402
439	EG0778	EG2391	After abduction	After abduction	0.442
440	EG0778	EG2018	After abduction	After abduction	0.3792
441	EG0778	EG1990	After abduction	After abduction	0.4996
442	EG0778	EG1940	After abduction	After abduction	0.2774
443	EG0778	EG0118	After abduction	After abduction	0.488
444	EG0778	EG1939	After abduction	After abduction	0.3372
445	EG0778	EG1892	After abduction	After abduction	0.3328
446	EG0778	EG1878	After abduction	After abduction	0.4506
447	EG0778	EG0101	After abduction	After abduction	0.429
448	EG0778	EG1772	After abduction	After abduction	0.3916
449	EG0778	EG1673	After abduction	After abduction	0.342
450	EG0778	EG1637	After abduction	After abduction	0.4864
451	EG0778	EG1572	After abduction	After abduction	0.4836
452	EG0778	EG1524	After abduction	After abduction	0.4736
453	EG0778	EG0088	After abduction	After abduction	0.4424
454	EG0778	EG1490	After abduction	After abduction	0.2138
455	EG0778	EG1431	After abduction	After abduction	0.3512
456	EG0778	EG1416	After abduction	After abduction	0.4556
457	EG0778	EG1178	After abduction	After abduction	0.264
458	EG0778	EG1153	After abduction	After abduction	0.2382
459	EG0778	EG1041	After abduction	After abduction	0.2522
460	EG0778	EG1035	After abduction	After abduction	0.3074
461	EG0778	EG0927	After abduction	After abduction	0.4112
462	EG0778	EG0892	After abduction	After abduction	0.3204
463	EG0778	EG0850	After abduction	After abduction	0.4658
464	EG0778	EG0057	After abduction	After abduction	0.421
465	EG0647	EG2580	After abduction	After abduction	0.2288
466	EG0647	EG2559	After abduction	After abduction	0.288
467	EG0647	EG2473	After abduction	After abduction	0.2358
468	EG0647	EG2392	After abduction	After abduction	0.2238
469	EG0647	EG2391	After abduction	After abduction	0.5092
470	EG0647	EG2018	After abduction	After abduction	0.2336
471	EG0647	EG1990	After abduction	After abduction	0.5856
472	EG0647	EG1940	After abduction	After abduction	0.2138
473	EG0647	EG0118	After abduction	After abduction	0.4504
474	EG0647	EG1939	After abduction	After abduction	0.4068
475	EG0647	EG1892	After abduction	After abduction	0.261
476	EG0647	EG1878	After abduction	After abduction	0.2968
477	EG0647	EG0101	After abduction	After abduction	0.2842
478	EG0647	EG1772	After abduction	After abduction	0.2162
479	EG0647	EG1673	After abduction	After abduction	0.348
480	EG0647	EG1637	After abduction	After abduction	0.324
481	EG0647	EG1572	After abduction	After abduction	0.2934
482	EG0647	EG1524	After abduction	After abduction	0.5484
483	EG0647	EG0088	After abduction	After abduction	0.3854
484	EG0647	EG1490	After abduction	After abduction	0.2996
485	EG0647	EG1431	After abduction	After abduction	0.2524
486	EG0647	EG1416	After abduction	After abduction	0.3462
487	EG0647	EG1178	After abduction	After abduction	0.2364
488	EG0647	EG1153	After abduction	After abduction	0.2284
489	EG0647	EG1041	After abduction	After abduction	0.2924
490	EG0647	EG1035	After abduction	After abduction	0.3532
491	EG0647	EG0927	After abduction	After abduction	0.2324
492	EG0647	EG0892	After abduction	After abduction	0.2894
493	EG0647	EG0850	After abduction	After abduction	0.4056
494	EG0647	EG0057	After abduction	After abduction	0.407
495	EG0647	EG0778	After abduction	After abduction	0.3182
496	EG0546	EG2580	After abduction	After abduction	0.3848
497	EG0546	EG2559	After abduction	After abduction	0.4188
498	EG0546	EG2473	After abduction	After abduction	0.3076
499	EG0546	EG2392	After abduction	After abduction	0.3992
500	EG0546	EG2391	After abduction	After abduction	0.5146
501	EG0546	EG2018	After abduction	After abduction	0.4368
502	EG0546	EG1990	After abduction	After abduction	0.5682
503	EG0546	EG1940	After abduction	After abduction	0.3698
504	EG0546	EG0118	After abduction	After abduction	0.4488
505	EG0546	EG1939	After abduction	After abduction	0.4506
506	EG0546	EG1892	After abduction	After abduction	0.3812
507	EG0546	EG1878	After abduction	After abduction	0.462
508	EG0546	EG0101	After abduction	After abduction	0.4424
509	EG0546	EG1772	After abduction	After abduction	0.407
510	EG0546	EG1673	After abduction	After abduction	0.4206
511	EG0546	EG1637	After abduction	After abduction	0.445
512	EG0546	EG1572	After abduction	After abduction	0.4388
513	EG0546	EG1524	After abduction	After abduction	0.5446
514	EG0546	EG0088	After abduction	After abduction	0.4378
515	EG0546	EG1490	After abduction	After abduction	0.3902
516	EG0546	EG1431	After abduction	After abduction	0.4222
